══════════════════════
npx cdk destroy --all --force --context config-path=/Users/alessandrovolpicella/repo/cloudfront-toolkit-vite/cloudfront-hosting-toolkit 


══════════════════════

hosting-main-cloudfront-toolkit-vite-main: destroying... [1/2]
hosting-main-cloudfront-toolkit-vite-main |   0 | 10:05:51 | DELETE_IN_PROGRESS   | AWS::StepFunctions::StateMachine       | Hosting/PipelineInfrastructure/UpdateCFF/StaticHostingSF (HostingPipelineInfrastructureUpdateCFFStaticHostingSF1C3F6163) 
hosting-main-cloudfront-toolkit-vite-main |   0 | 10:05:51 | DELETE_IN_PROGRESS   | AWS::IAM::Policy                       | Hosting/PipelineInfrastructure/MyPipeline/Role/DefaultPolicy (HostingPipelineInfrastructureMyPipelineRoleDefaultPolicy804931F0) 
hosting-main-cloudfront-toolkit-vite-main |   0 | 10:05:51 | DELETE_IN_PROGRESS   | AWS::CodeBuild::Project                | Hosting/PipelineInfrastructure/Project (HostingPipelineInfrastructureProject873982A1) 
hosting-main-cloudfront-toolkit-vite-main |   0 | 10:05:51 | DELETE_IN_PROGRESS   | AWS::Lambda::Function                  | LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a (LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8aFD4BFC8A) 
hosting-main-cloudfront-toolkit-vite-main |   1 | 10:05:51 | DELETE_COMPLETE      | Custom::S3AutoDeleteObjects            | Hosting/PipelineInfrastructure/ArtifactBucket/AutoDeleteObjectsCustomResource/Default (HostingPipelineInfrastructureArtifactBucketAutoDeleteObjectsCustomResource8CA26117) 
hosting-main-cloudfront-toolkit-vite-main |   1 | 10:05:51 | DELETE_IN_PROGRESS   | AWS::Lambda::Function                  | Custom::S3AutoDeleteObjectsCustomResourceProvider/Handler (CustomS3AutoDeleteObjectsCustomResourceProviderHandler9D90184F) 
hosting-main-cloudfront-toolkit-vite-main |   1 | 10:05:52 | DELETE_IN_PROGRESS   | AWS::S3::BucketPolicy                  | Hosting/PipelineInfrastructure/ArtifactBucket/Policy (HostingPipelineInfrastructureArtifactBucketPolicy55FE49F0) 
hosting-main-cloudfront-toolkit-vite-main |   2 | 10:05:52 | DELETE_COMPLETE      | AWS::IAM::Policy                       | Hosting/PipelineInfrastructure/MyPipeline/Role/DefaultPolicy (HostingPipelineInfrastructureMyPipelineRoleDefaultPolicy804931F0) 
hosting-main-cloudfront-toolkit-vite-main |   2 | 10:05:52 | DELETE_IN_PROGRESS   | AWS::IAM::Role                         | Hosting/PipelineInfrastructure/MyPipeline/ChangeUri/Invoke/CodePipelineActionRole (HostingPipelineInfrastructureMyPipelineChangeUriInvokeCodePipelineActionRole87BB8ADC) 
hosting-main-cloudfront-toolkit-vite-main |   2 | 10:05:52 | DELETE_IN_PROGRESS   | AWS::IAM::Role                         | Hosting/PipelineInfrastructure/MyPipeline/Sources/GitHub-Source-cloudfront-toolkit-vite/CodePipelineActionRole (HostingPipelineInfrastructureMyPipelineSourcesGitHubSourcecloudfronttoolkitviteCodePipelineActionRoleA27785D7) 
hosting-main-cloudfront-toolkit-vite-main |   2 | 10:05:52 | DELETE_IN_PROGRESS   | AWS::IAM::Role                         | Hosting/PipelineInfrastructure/MyPipeline/Build/Build-And-Copy-to-S3-cloudfront-toolkit-vite/CodePipelineActionRole (HostingPipelineInfrastructureMyPipelineBuildBuildAndCopytoS3cloudfronttoolkitviteCodePipelineActionRole1BA43860) 
